,accession,start,end,strand,gene_name,gene_name_2,gene_product,COG,uniprot,operon,regulator
bll0413,BA000040.2,445789,446841,-,bll0413,AAV28_RS40555,ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,,Op5877,
bll0414,BA000040.2,446838,448004,-,leuB,leuB,3-isopropylmalate dehydrogenase,Energy production and conversion,Q89XA0,Op5877,
bll0415,BA000040.2,447974,448609,-,leuD,leuD,3-isopropylmalate dehydratase small subunit,Amino acid transport and metabolism,Q89X99,Op5877,
bll0416,BA000040.2,448610,450148,-,leuC,leuC,3-isopropylmalate dehydratase large subunit,Amino acid transport and metabolism,,Op5877,
bll0417,BA000040.2,450185,451138,-,bll0417,AAV28_RS40575,LysR family transcriptional regulator,Transcription,Q89X97,Op5878,
bll0419,BA000040.2,452563,453687,-,bll0419,AAV28_RS40590,ROK family protein,Carbohydrate transport and metabolism,Q89X95,Op5880,
bll0423,BA000040.2,455680,456594,-,bll0423,AAV28_RS40610,DMT family transporter,Amino acid transport and metabolism,Q89X91,Op5884,
bll0427,BA000040.2,460411,461475,-,bll0427,AAV28_RS40630,Bug family tripartite tricarboxylate transporter substrate binding protein,Function unknown,,Op5888,
bll0438,BA000040.2,471539,473185,-,bll0438,AAV28_RS40685,adenylate/guanylate cyclase domain-containing protein,Signal transduction mechanisms,Q89X76,Op5895,
bll0439,BA000040.2,473348,473755,-,atpC,AAV28_RS40690,F0F1 ATP synthase subunit epsilon,Energy production and conversion,Q89X75,Op5896,
bll0440,BA000040.2,473842,475275,-,atpD,atpD,F0F1 ATP synthase subunit beta,Energy production and conversion,Q89X74,Op5896,
bll0441,BA000040.2,475358,476230,-,atpG,AAV28_RS40700,F0F1 ATP synthase subunit gamma,Energy production and conversion,Q89X73,Op5896,
bll0442,BA000040.2,476405,477934,-,atpA,atpA,F0F1 ATP synthase subunit alpha,Energy production and conversion,Q89X72,Op5896,
bll0443,BA000040.2,477934,478494,-,atpH,AAV28_RS40710,F0F1 ATP synthase subunit delta,Energy production and conversion,Q89X71,Op5896,
bll0445,BA000040.2,479883,482093,-,priA,AAV28_RS40720,primosomal protein N',"Replication, recombination and repair",Q89X69,Op5898,
bll0448,BA000040.2,484059,484589,-,bll0448,AAV28_RS40735,hypothetical protein,No COG annotation,Q89X66,Op5901,
bll0449,BA000040.2,484624,486024,-,lpdA,lpdA,dihydrolipoyl dehydrogenase,Energy production and conversion,Q89X65,Op5901,
bll0450,BA000040.2,486081,486842,-,scdh1,AAV28_RS40745,SDR family oxidoreductase,Lipid transport and metabolism,,Op5901,
bll0451,BA000040.2,486896,488140,-,odhB,odhB,2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase,Energy production and conversion,Q89X64,Op5901,
bll0452,BA000040.2,488300,491257,-,sucA,AAV28_RS40755,2-oxoglutarate dehydrogenase E1 component,Energy production and conversion,Q89X63,Op5901,
bll0453,BA000040.2,491395,492279,-,sucD,sucD,succinate--CoA ligase subunit alpha,Energy production and conversion,Q89X62,Op5901,
bll0454,BA000040.2,492314,492793,-,bll0454,AAV28_RS40765,DUF1579 domain-containing protein,Function unknown,Q89X61,Op5901,
bll0455,BA000040.2,492798,493994,-,sucC,sucC,ADP-forming succinate--CoA ligase subunit beta,Energy production and conversion,Q89X60,Op5901,
bll0456,BA000040.2,494219,495187,-,mdh,mdh,malate dehydrogenase,Energy production and conversion,Q89X59,Op5901,
bll0457,BA000040.2,495450,496634,-,zapE,zapE,cell division protein ZapE,Function unknown,Q89X58,Op5902,
bll0458,BA000040.2,496737,497273,-,thpR,thpR,RNA 2'%2C3'-cyclic phosphodiesterase,"Translation, ribosomal structure and biogenesis",Q89X57,Op5903,
bll0459,BA000040.2,497448,498206,-,bll0459,AAV28_RS40790,arylesterase,Amino acid transport and metabolism,,Op5904,
bll0464,BA000040.2,503377,503748,-,bll0464,AAV28_RS40815,DUF2794 domain-containing protein,Function unknown,Q89X51,Op5908,
bll0465,BA000040.2,504497,505273,-,bll0465,AAV28_RS40820,DUF1223 domain-containing protein,Function unknown,Q89X50,Op5909,
bll0466,BA000040.2,505494,508214,-,acnA,acnA,aconitate hydratase AcnA,Energy production and conversion,P70920,Op5910,
bll0472,BA000040.2,511798,512553,-,bll0472,AAV28_RS40855,septation protein A,"Cell cycle control, cell division, chromosome partitioning",P30961,Op5913,
bll0473,BA000040.2,512528,513475,-,ftsY,ftsY,signal recognition particle-docking protein FtsY,"Intracellular trafficking, secretion, and vesicular transport",Q89X49,Op5914,
bll0476,BA000040.2,515845,517098,-,mtaB,mtaB,tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase MtaB,"Translation, ribosomal structure and biogenesis",Q89X46,Op5917,
bll0477,BA000040.2,517098,517973,-,dapF,dapF,diaminopimelate epimerase,Amino acid transport and metabolism,Q89X45,Op5917,
bll0480,BA000040.2,519895,520884,-,bll0480,AAV28_RS40900,MBL fold metallo-hydrolase,Function unknown,,Op5919,
bll0484,BA000040.2,523854,524771,-,bll0484,AAV28_RS40920,LysR substrate-binding domain-containing protein,Transcription,,Op5922,
bll0489,BA000040.2,529579,530112,-,bll0489,AAV28_RS40950,hypothetical protein,No COG annotation,Q89X33,Op5928,
bll0491,BA000040.2,530603,530908,-,bll0491,AAV28_RS45510,hypothetical protein,No COG annotation,,Op5930,
bll0493,BA000040.2,531328,531654,-,bll0493,AAV28_RS40965,hypothetical protein,No COG annotation,,Op5932,
bll0498,BA000040.2,534428,535087,-,bll0498,AAV28_RS40990,HAD family hydrolase,Function unknown,Q89X24,Op5937,
bll0499,BA000040.2,535091,535972,-,citE,AAV28_RS40995,CoA ester lyase,Carbohydrate transport and metabolism,Q89X23,Op5937,
bll0501,BA000040.2,536968,538002,-,asd,AAV28_RS41005,aspartate-semialdehyde dehydrogenase,Amino acid transport and metabolism,Q89X21,Op5939,
bll0504,BA000040.2,539559,540671,-,leuB,leuB,3-isopropylmalate dehydrogenase,Energy production and conversion,Q89X19,Op5942,
bll0505,BA000040.2,542199,542981,-,bll0505,AAV28_RS41030,molybdopterin-binding protein,Function unknown,Q89X17,Op5944,
bll0506,BA000040.2,542994,543623,-,bll0506,AAV28_RS41035,cytochrome b/b6 domain-containing protein,Energy production and conversion,Q89X16,Op5944,
bll0507,BA000040.2,543806,544360,-,bll0507,AAV28_RS41040,fasciclin domain-containing protein,Cell wall/membrane/envelope biogenesis,Q89X15,Op5945,
bll0508,BA000040.2,544674,545435,-,bll0508,AAV28_RS41045,SDR family NAD(P)-dependent oxidoreductase,Function unknown,Q89X14,Op5946,
bll0510,BA000040.2,547369,548232,-,bll0510,AAV28_RS41055,sulfite exporter TauE/SafE family protein,Function unknown,,Op5948,
bll0522,BA000040.2,561952,563289,-,argG,argG,argininosuccinate synthase,Amino acid transport and metabolism,P59607,Op5956,
bll0523,BA000040.2,563383,564210,-,bll0523,AAV28_RS41120,phosphatase PAP2 family protein,Lipid transport and metabolism,,Op5957,
bll0524,BA000040.2,564316,564810,-,bll0524,AAV28_RS41125,hypothetical protein,No COG annotation,Q89X04,Op5958,
bll0525,BA000040.2,564977,566179,-,rlmN,rlmN,23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN,"Translation, ribosomal structure and biogenesis",Q89X03,Op5959,
bll0526,BA000040.2,566374,567036,-,bll0526,AAV28_RS41135,invasion associated locus B family protein,Function unknown,Q89X02,Op5960,
bll0527,BA000040.2,567153,567992,-,bll0527,AAV28_RS41140,SDR family oxidoreductase,Lipid transport and metabolism,Q89X01,Op5961,
bll0531,BA000040.2,571810,572250,-,bll0531,AAV28_RS41160,YkvA family protein,Function unknown,,Op5964,
bll0532,BA000040.2,572283,572585,-,bll0532,AAV28_RS41165,4a-hydroxytetrahydrobiopterin dehydratase,Coenzyme transport and metabolism,Q89WZ6,Op5965,
bll0535,BA000040.2,575914,576348,-,bll0535,AAV28_RS41180,response regulator,Signal transduction mechanisms,,Op5968,
bll0542,BA000040.2,583849,584748,-,bll0542,AAV28_RS45525,HNH endonuclease,Defense mechanisms,Q89WY6,Op5973,
bll0543,BA000040.2,584804,585211,-,bll0543,AAV28_RS41225,thiol-disulfide oxidoreductase DCC family protein,Energy production and conversion,Q89WY5,Op5974,
bll0544,BA000040.2,585211,586527,-,bll0544,AAV28_RS41230,SDR family oxidoreductase,Carbohydrate transport and metabolism,,Op5974,
bll0545,BA000040.2,586532,586999,-,bll0545,AAV28_RS41235,DUF2269 domain-containing protein,Function unknown,Q89WY3,Op5974,
bll0546,BA000040.2,586996,587874,-,bll0546,AAV28_RS41240,alpha/beta fold hydrolase,"Secondary metabolites biosynthesis, transport, and catabolism",Q89WY2,Op5974,
bll0549,BA000040.2,589499,590383,-,folD,AAV28_RS41255,bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase,Nucleotide transport and metabolism,Q89WX9,Op5977,
bll0552,BA000040.2,591435,592247,-,bll0552,AAV28_RS41275,enoyl-CoA hydratase,Lipid transport and metabolism,Q89WX6,Op5978,
bll0553,BA000040.2,592347,593150,-,guaA,AAV28_RS41280,glutamine amidotransferase,Nucleotide transport and metabolism,Q89WX5,Op5979,
bll0554,BA000040.2,593280,594059,-,bll0554,AAV28_RS41285,SDR family oxidoreductase,Function unknown,Q89WX4,Op5980,
bll0555,BA000040.2,594287,594775,-,bll0555,AAV28_RS41290,TerB family tellurite resistance protein,Function unknown,Q89WX3,Op5981,
bll0556,BA000040.2,595000,596409,-,bll0556,AAV28_RS41295,adenylate/guanylate cyclase domain-containing protein,Signal transduction mechanisms,Q89WX2,Op5982,
bll0557,BA000040.2,596460,597827,-,bll0557,AAV28_RS41300,cytochrome P450,"Secondary metabolites biosynthesis, transport, and catabolism",Q89WX1,Op5983,
bll0558,BA000040.2,597862,599265,-,bll0558,AAV28_RS41305,hypothetical protein,Function unknown,,Op5983,
bll0561,BA000040.2,601595,601918,-,bll0561,AAV28_RS41320,hypothetical protein,No COG annotation,Q89WW7,Op5986,
bll0563,BA000040.2,603394,603762,-,bll0563,AAV28_RS41330,hypothetical protein,No COG annotation,Q89WW5,Op5988,
bll0564,BA000040.2,604105,605847,-,bll0564,AAV28_RS41340,membrane protein,Function unknown,Q89WW4,Op5989,
bll0565,BA000040.2,605884,607095,-,bll0565,AAV28_RS41345,hypothetical protein,"Cell cycle control, cell division, chromosome partitioning",Q89WW3,Op5989,
bll0566,BA000040.2,607185,607931,-,bll0566,AAV28_RS41350,uroporphyrinogen-III synthase,Coenzyme transport and metabolism,Q89WW2,Op5990,
bll0570,BA000040.2,610917,612032,-,bll0570,AAV28_RS41370,adenylate/guanylate cyclase domain-containing protein,Signal transduction mechanisms,,Op5994,
bll0572,BA000040.2,612589,613758,-,bll0572,AAV28_RS41380,DNA topoisomerase IB,"Replication, recombination and repair",Q89WV6,Op5996,
bll0575,BA000040.2,617097,617681,-,bll0575,AAV28_RS41395,thermonuclease family protein,"Replication, recombination and repair",Q89WV3,Op5999,
bll0582,BA000040.2,627078,628463,-,bll0582,AAV28_RS41430,MFS transporter,Function unknown,Q89WU6,Op6006,
bll0585,BA000040.2,631804,632469,-,bll0585,AAV28_RS41445,glutathione S-transferase,"Post-translational modification, protein turnover, and chaperones",Q89WU3,Op6008,
bll0590,BA000040.2,636605,637198,-,bll0590,AAV28_RS41470,cytochrome c4,Energy production and conversion,Q89WT8,Op6012,
bll0591,BA000040.2,637388,638680,-,bll0591,AAV28_RS41475,PQQ-dependent sugar dehydrogenase,Carbohydrate transport and metabolism,Q89WT7,Op6013,
bll0593,BA000040.2,639062,640087,-,bll0593,AAV28_RS41480,NAD(P)-dependent oxidoreductase,Cell wall/membrane/envelope biogenesis,,Op6014,
bll0596,BA000040.2,642203,644704,-,bll0596,AAV28_RS41500,EAL domain-containing protein,Signal transduction mechanisms,Q89WT2,Op6016,
bll0597,BA000040.2,644886,645464,-,bll0597,AAV28_RS41505,cytochrome b/b6 domain-containing protein,Energy production and conversion,,Op6017,
bll0598,BA000040.2,645542,645889,-,bll0598,AAV28_RS41510,PepSY domain-containing protein,Function unknown,,Op6018,
bll0599,BA000040.2,646040,646858,-,bll0599,AAV28_RS41515,NAD(P)H-binding protein,Carbohydrate transport and metabolism,Q89WS9,Op6019,
bll0600,BA000040.2,646921,647271,-,bll0600,AAV28_RS41520,hypothetical protein,No COG annotation,Q89WS8,Op6020,
bll0603,BA000040.2,648383,649603,-,bll0603,AAV28_RS41535,ubiquinone biosynthesis hydroxylase,Energy production and conversion,Q89WS5,Op6023,
bll0605,BA000040.2,650684,651562,-,bll0605,AAV28_RS41545,DUF4339 domain-containing protein,Function unknown,Q89WS3,Op6025,
bll0619,BA000040.2,663855,664298,-,bll0619,AAV28_RS41610,cyclic nucleotide-binding domain-containing protein,Signal transduction mechanisms,Q89WQ9,Op6033,
bll0620,BA000040.2,664357,665043,-,bll0620,AAV28_RS41615,response regulator transcription factor,Transcription,Q89WQ8,Op6034,
bll0623,BA000040.2,666752,667441,-,bll0623,AAV28_RS41630,YggS family pyridoxal phosphate-dependent enzyme,Function unknown,Q89WQ5,Op6036,
bll0625,BA000040.2,669263,669919,-,bll0625,AAV28_RS41640,hypothetical protein,No COG annotation,Q89WQ3,Op6038,
bll0626,BA000040.2,669961,671331,-,bll0626,AAV28_RS41645,tetratricopeptide repeat protein,Function unknown,Q89WQ2,Op6039,
bll0630,BA000040.2,675971,676879,-,parB,AAV28_RS41665,ParB/RepB/Spo0J family partition protein,Transcription,,Op6042,
bll0631,BA000040.2,676996,677850,-,parA,AAV28_RS41670,ParA family protein,"Cell cycle control, cell division, chromosome partitioning",Q89WP7,Op0,
bll0632,BA000040.2,677880,678662,-,rsmG,rsmG,16S rRNA (guanine(527)-N(7))-methyltransferase RsmG,"Translation, ribosomal structure and biogenesis",,Op0,
bll0633,BA000040.2,678672,680552,-,mnmG,mnmG,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG,"Cell cycle control, cell division, chromosome partitioning",Q89WP5,Op0,
bll0634,BA000040.2,681017,682375,-,mnmE,mnmE,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE,"Translation, ribosomal structure and biogenesis",Q89WP4,Op0,
bll0635,BA000040.2,682690,683955,-,rho,rho,transcription termination factor Rho,Transcription,Q89WP3,Op1,
bll0636,BA000040.2,684206,684628,-,hemJ,hemJ,protoporphyrinogen oxidase HemJ,Function unknown,Q89WP2,Op2,
bll0641,BA000040.2,687982,688467,-,secB,secB,protein-export chaperone SecB,"Intracellular trafficking, secretion, and vesicular transport",Q89WN7,Op4,
bll0645,BA000040.2,691853,692977,-,bll0645,AAV28_RS00060,hypothetical protein,No COG annotation,Q89WN3,Op7,
bll0646,BA000040.2,693203,694507,-,hslU,hslU,ATP-dependent protease ATPase subunit HslU,"Post-translational modification, protein turnover, and chaperones",Q89WN2,Op8,
bll0647,BA000040.2,694560,695177,-,bll0647,AAV28_RS00070,DUF2585 domain-containing protein,Function unknown,Q89WN1,Op9,
bll0648,BA000040.2,695174,695659,-,bll0648,AAV28_RS00075,acetyltransferase,"Translation, ribosomal structure and biogenesis",Q89WN0,Op9,
bll0649,BA000040.2,695841,696401,-,hslV,hslV,ATP-dependent protease subunit HslV,"Post-translational modification, protein turnover, and chaperones",Q89WM9,Op10,
bll0657,BA000040.2,701520,702623,-,bll0657,AAV28_RS00120,AI-2E family transporter,Function unknown,,Op12,
bll0658,BA000040.2,702691,703329,-,bll0658,AAV28_RS00125,histidine phosphatase family protein,Carbohydrate transport and metabolism,,Op13,
bll0659,BA000040.2,703424,705655,-,bll0659,AAV28_RS00130,ATP-binding protein,Signal transduction mechanisms,,Op14,
bll0660,BA000040.2,705857,706324,-,bll0660,AAV28_RS00135,hypothetical protein,No COG annotation,Q89WL8,Op15,
bll0661,BA000040.2,706422,707960,-,bll0661,AAV28_RS00140,YifB family Mg chelatase-like AAA ATPase,"Post-translational modification, protein turnover, and chaperones",Q89WL7,Op16,LexA
bll0664,BA000040.2,709336,710625,-,ctpF,AAV28_RS00155,AAA family ATPase,"Intracellular trafficking, secretion, and vesicular transport",Q89WL4,Op19,
bll0665,BA000040.2,710622,711356,-,pilV,AAV28_RS00160,pilus assembly protein CpaD,Cell motility,Q89WL3,Op19,
bll0666,BA000040.2,711413,712930,-,bll0666,AAV28_RS00165,type II and III secretion system protein family protein,"Intracellular trafficking, secretion, and vesicular transport",Q89WL2,Op20,
bll0667,BA000040.2,712941,713753,-,cpaB,cpaB,Flp pilus assembly protein CpaB,"Intracellular trafficking, secretion, and vesicular transport",Q89WL1,Op20,
bll0668,BA000040.2,714107,715051,-,gshB,gshB,glutathione synthase,Coenzyme transport and metabolism,Q89WL0,Op21,
bll0669,BA000040.2,715062,715463,-,bll0669,AAV28_RS00180,YraN family protein,"Replication, recombination and repair",Q89WK9,Op21,
bll0670,BA000040.2,715450,716400,-,rsmI,rsmI,16S rRNA (cytidine(1402)-2'-O)-methyltransferase,Coenzyme transport and metabolism,Q89WK8,Op21,
bll0672,BA000040.2,718141,719262,-,hemW,hemW,radical SAM family heme chaperone HemW,Coenzyme transport and metabolism,,Op23,
bll0673,BA000040.2,719282,719917,-,rdgB,rdgB,RdgB/HAM1 family non-canonical purine NTP pyrophosphatase,Nucleotide transport and metabolism,Q89WK5,Op23,
bll0674,BA000040.2,719929,720642,-,rph,rph,ribonuclease PH,"Translation, ribosomal structure and biogenesis",Q89WK4,Op23,
bll0677,BA000040.2,722742,723464,-,pncA,pncA,bifunctional nicotinamidase/pyrazinamidase,"Secondary metabolites biosynthesis, transport, and catabolism",H7C7U0,Op26,
bll0679,BA000040.2,723729,724676,-,bll0679,AAV28_RS00225,hypothetical protein,No COG annotation,,Op27,
bll0687,BA000040.2,732558,733454,-,bll0687,AAV28_RS00270,bifunctional helix-turn-helix domain-containing protein/methylated-DNA--[protein]-cysteine S-methyltransferase,Transcription,Q89WK0,Op33,
bll0688,BA000040.2,733510,734043,-,bll0688,AAV28_RS00275,DUF2244 domain-containing protein,Function unknown,Q89WJ9,Op34,
bll0692,BA000040.2,737721,738461,-,bll0692,AAV28_RS00295,sulfate transporter family protein,Amino acid transport and metabolism,Q89WJ5,Op37,
bll0693,BA000040.2,738549,739763,-,bll0693,AAV28_RS00300,hypothetical protein,Nucleotide transport and metabolism,,Op38,
bll0695,BA000040.2,741449,742894,-,bll0695,AAV28_RS00310,MFS transporter,Amino acid transport and metabolism,,Op40,
bll0696,BA000040.2,743190,744122,-,bll0696,AAV28_RS00315,LysR family transcriptional regulator,Transcription,Q89WJ1,Op41,
bll0699,BA000040.2,746528,746974,-,nikR,nikR,nickel-responsive transcriptional regulator NikR,Transcription,Q89WI8,Op43,
bll0700,BA000040.2,747183,749654,-,bll0700,AAV28_RS00335,heavy metal translocating P-type ATPase,Inorganic ion transport and metabolism,,Op44,
bll0702,BA000040.2,750178,751161,-,bll0702,AAV28_RS00345,YiiX/YebB-like N1pC/P60 family cysteine hydrolase,Function unknown,Q89WI5,Op46,
bll0704,BA000040.2,752910,753680,-,bll0704,AAV28_RS00355,sulfite exporter TauE/SafE family protein,Function unknown,Q89WI3,Op48,
bll0705,BA000040.2,753734,756142,-,pheT,pheT,phenylalanine--tRNA ligase subunit beta,"Translation, ribosomal structure and biogenesis",Q89WI2,Op49,
bll0706,BA000040.2,756139,757221,-,pheS,pheS,phenylalanine--tRNA ligase subunit alpha,"Translation, ribosomal structure and biogenesis",Q89WI1,Op49,
bll0707,BA000040.2,757818,758177,-,rplT,rplT,50S ribosomal protein L20,"Translation, ribosomal structure and biogenesis",Q89WI0,Op51,
bll0710,BA000040.2,759202,759741,-,infC,infC,translation initiation factor IF-3,"Translation, ribosomal structure and biogenesis",Q89WH7,Op54,
bll0713,BA000040.2,761574,762536,-,bll0713,AAV28_RS00405,thioesterase family protein,"Secondary metabolites biosynthesis, transport, and catabolism",,Op57,
bll0714,BA000040.2,762543,763721,-,queG,queG,tRNA epoxyqueuosine(34) reductase QueG,Energy production and conversion,Q89WH3,Op58,
bll0715,BA000040.2,763670,764362,-,bll0715,AAV28_RS00415,glutathione S-transferase family protein,"Post-translational modification, protein turnover, and chaperones",Q89WH2,Op58,
